Year,GoldLR%,GoldRV,CrudeLR%,CrudeRV,Unemployment,BRICS,G10,G15,Exporters,OPEC,USA,France,Japan,India,China,GDP Rate,BRICS,G10,G15,Exporters,OPEC,USA,France,Japan,India,China,CPI,BRICS,G10,G15,Exporters,,WPUI,G15,Exporters,BRICS,G10,OPEC,USA,France,Japan,India,China,LWIP,LGPR,,WUI ,China,G10,BRICS,G15,,WPUI,G10,G15,BRICS,G10,G15,BRICS
1996,-4.695077162,0.002202308,26.70470262,0.071393953,,0.580558901,4.69347,0.72574,2.1774,0.178019067,5.45,12.37,3.4,5.75,3.1,,6.843789342,4.594090008,7.458658525,5.726774702,0.068006804,3.8,1.4,3.1,7.5,10,,2.66,2.7984,1.71944963,2.0947,,,0,0,0.11,0.68,0,0,0,0,0,0,4.300457411,3.702023272,,,0.030394825,4.810890156,1.330339254,1.937710792,,,0,0,0,1,1,1
1997,-28.78543526,0.08237666,-36.99015333,0.136021652,,0.610498798,4.5703,0.67155,2.09859,0.16922238,5,12.57,3.4,5.74,3.2,,7.011101403,4.994658859,6.26070362,6.422043608,0.055562602,4.4,2.3,1,4,9.2,,1.05,2.6858,0.975766263,1.1476,,,0,0.4,2.05,5.87,0,0,0,0,0,0,4.355749478,3.50067106,,,0.0233448,4.715323315,0.781200219,1.393924787,,,0,0,0,1,1,1
1998,-29.61588986,0.087757083,-74.4131531,0.552690445,,0.658319197,4.37563,0.6978,1.9912,0.171354253,4.51,12.08,4.1,5.74,3.2,,4.565102348,4.064004011,2.133254697,4.813757383,0.04326303,4.5,3.6,-1.3,6.2,7.9,,1.125,1.6644,1.200182291,0.8594,,,0,0.02,0.03,0.05,0,0,0,0,0,0,4.379115119,4.209305152,,,0.025434825,3.96741256,1.398739932,2.033443796,,,0,0,0,1,1,1
1999,-28.76820725,0.082870884,0.818558459,0.00053468,,0.696799768,4.19726,0.75054,1.93967,0.186968102,4.22,11.98,4.7,5.78,3.3,,7.711300627,4.691395369,3.926571067,6.08951549,-0.021310576,4.8,3.4,-0.3,8.5,7.9,,2.273,1.768,0.823072872,1.7503,,,0,0.03,0.06,0.09,0,0,0,0,0,0,4.413766784,3.923448579,,,0.0084673,3.743738721,1.139514229,2.03338526,,,0,0,0,1,1,1
2000,-34.3655598,0.11803086,4.477503202,0.002846662,,0.677258107,3.83511,0.73458,1.83462,0.199889309,3.99,10.22,4.7,5.75,3.3,,9.213524631,6.077521772,6.809307544,8.106335969,0.134408825,4.1,3.9,2.8,4,8.5,,0.967,2.7148,0.55077039,1.4955,,,0,0,0,0,0,0,0,0,0,0,4.470186845,3.62888565,,,0.01677425,3.415051088,0.842595392,1.485553767,,,0,0,0,1,1,1
2001,-33.62138721,0.113143134,-24.69070458,0.061209318,,0.701536262,3.84272,0.74222,2.08188,0.207968317,4.73,8.61,5,5.73,3.8,,7.958994121,3.531537136,4.44312374,4.823504623,0.035458698,1,2,0.4,4.9,8.4,,1.063,2.5402,0.594011159,1.3601,,,0,0.02,0.04,0.07,0,0,0,0,0,0,4.464474812,4.725105681,,,0.038323825,7.848591882,1.675709006,2.227690234,,,0,0,0,1,1,1
2002,-10.85237102,0.012033087,20.01012396,0.039848545,,0.751334567,4.18441,0.80028,2.42485,0.239394532,5.78,8.7,5.4,5.77,4.2,,7.682588527,2.768389686,4.633983249,5.291877677,0.077166821,1.7,1.1,0,3.9,9,,0.938,1.6748,0.874721171,0.9477,,,0,4.87,12.88,24.72,0,0,0,0,0,0,4.48265397,5.157155222,,,0.0246314,7.078417185,1.22643927,2.312573971,,,0,0,0,1,1,1
2003,7.286134826,0.005303006,24.09104177,0.058807489,,0.82458637,4.2152,0.81589,2.54608,0.25393454,5.99,8.31,5.3,5.77,4.6,,9.488254216,3.715662118,6.665839216,7.12490601,0.216561479,2.9,0.8,1.5,7.9,10.1,,1.367,2.1982,0.844873312,1.3973,,,1.58,1.74,2.35,5.25,0,0,0,4.2325,3.05,0,4.514972411,5.315313613,,,0.026726925,8.497339796,1.380962597,1.669530363,,,2.90243225,1.584541711,0.610091,3.90243225,2.584541711,1.610091
2004,11.8299698,0.01403197,52.89000405,0.279184661,,0.821432178,3.99697,0.80418,2.39042,0.244021126,5.53,8.91,4.7,5.72,4.5,,11.21947775,5.652212665,9.176053834,8.777112543,0.26712618,3.8,2.8,2.2,7.8,10.2,,1.239,2.4176,0.679448258,1.4409,,,0.06,0.06,0.06,0.06,0,0,0,0,0,0,4.564557111,4.667717039,,,0.012633825,5.423667982,1.797592772,1.891234753,,,0,0.064483684,0,1,1.064483684,1
2005,28.18511521,0.079151975,87.12196707,0.75692892,,0.88265291,3.78591,0.80518,2.29094,0.245084565,5.08,8.49,4.4,5.65,4.5,,12.05819799,5.755505103,9.021022383,8.921257599,0.205607255,3.5,1.7,1.8,9.3,11.3,,1.209,2.7594,0.745046506,1.5671,,,0,0,0,0,0,0,0,0,0,0,4.605181328,4.213874094,,,0.004417,5.424134564,1.482866669,2.105691193,,,0,0,0,1,1,1
