,Gold,LR% not divide,RV_new,Crude,LR % not divide,RV_new,WUI,Simple,GDP Weighted,WUI_Simple,WUI_GDP,"World Pandemic Uncertainty Index (WPUI), equally weighted average",LWIP QTR,LGPR QTR
1996q1,,2.3999109,0.000592194,,7.7595867,0.007118249,,"12,581","10,781",12.581,10.781,0,4.282805613,3.769035878
1996q2,,-3.7003192,0.001335904,,-2.408617,0.001288168,,"11,671","11,799",11.671,11.799,0,4.294950665,3.549134137
1996q3,,-0.78844,6.57E-05,,14.5646994,0.020933028,,"10,196","9,862",10.196,9.862,0,4.305678611,3.90396289
1996q4,,-2.5926883,0.000662924,,6.7890336,0.005068371,,"11,304","8,467",11.304,8.467,0,4.31805533,3.537964414
1997q1,,-5.8832295,0.003408596,,-24.1162057,0.056630106,,"8,614","8,311",8.614,8.311,0,4.332792359,3.408695697
1997q2,,-3.9841238,0.00155848,,-2.6389383,0.001015168,,"10,732","11,004",10.732,11.004,0,4.349837151,3.390322946
1997q3,,-0.7499659,0.000100475,,6.4002303,0.004198081,,"11,453","8,719",11.453,8.719,0,4.364765006,3.326439439
1997q4,,-13.4865789,0.017708235,,-17.9958048,0.031693115,,"11,508","6,869",11.508,6.869,0,4.375095335,3.80243927
1998q1,,3.6539925,0.001376013,,-11.3895418,0.013407352,,"14,228","13,808",14.228,13.808,0,4.376228231,4.431519891
1998q2,,-1.5737812,0.000309746,,-9.6580828,0.010985986,,"14,505","9,724",14.505,9.724,0,4.376962835,3.88847905
1998q3,,-0.8132881,0.00013937,,12.413423,0.015457534,,"11,728","14,250",11.728,14.25,0,4.378452171,4.040694954
1998q4,,-2.0973778,0.000462179,,-28.7887982,0.081310744,,"14,220","9,511",14.22,9.511,0,4.384794384,4.375474381
1999q1,,-2.92635,0.000866286,,31.6504851,0.097523054,,"11,439","11,075",11.439,11.075,0,4.392858837,3.961047992
1999q2,,-6.8481888,0.004577685,,14.8647656,0.021878314,,"11,357","13,018",11.357,13.018,0,4.403264547,3.940757173
1999q3,,13.5923166,0.018066243,,23.8646146,0.055430636,,"10,579","5,778",10.579,5.778,0,4.418711403,3.944366948
1999q4,,-2.9528701,0.000986232,,4.8518462,0.002974733,,"14,327","7,863",14.327,7.863,0,4.439611229,3.843416612
2000q1,,-4.761965,0.002396944,,4.181529,0.00241423,,"11,018","5,832",11.018,5.832,0,4.450552469,3.761685511
2000q2,,4.0359459,0.001649078,,18.8754038,0.035318693,,"12,878","5,570",12.878,5.57,0,4.468653122,3.636642071
2000q3,,-5.1622065,0.002612327,,-4.9607391,0.003231023,,"12,190","13,817",12.19,13.817,0,4.477087958,3.451785152
2000q4,,0.2918648,2.88E-05,,-14.437249,0.021204782,,"12,463","11,881",12.463,11.881,0,4.484139495,3.641304629
2001q1,,-6.3155145,0.003924709,,-1.3185348,0.000675788,,"13,424","22,325",13.424,22.325,0,4.476606851,3.77800085
2001q2,,4.8845598,0.002447969,,1.70E-14,0.000556519,,"13,420","13,179",13.42,13.179,0,4.467769603,3.758203488
2001q3,,7.9872131,0.006295455,,-11.7783036,0.014569141,,"13,657","25,156",13.657,25.156,0,4.460467753,4.832108546
2001q4,,-5.8303027,0.003326289,,-16.0713694,0.02625499,,"17,053","23,448",17.053,23.448,0,4.45290098,5.476022139
2002q1,,8.6227462,0.007272347,,27.2410746,0.072310469,,"17,898","22,597",17.898,22.597,0,4.464498697,4.80269066
2002q2,,5.5184191,0.003009126,,2.1887666,0.000990496,,"12,717","17,938",12.717,17.938,0,4.480226235,5.026809487
2002q3,,1.6194681,0.000340869,,13.2644475,0.01735037,,"10,475","14,136",10.475,14.136,0,4.490102485,5.238431096
2002q4,,7.0083821,0.004810426,,2.0065398,0.000762252,,"15,357","27,833",15.357,27.833,0,4.495510888,5.446827092
2003q1,,-3.6068999,0.001383452,,-0.224539,0.001585533,,"15,815","25,719",15.815,25.719,0,4.505537089,6.141225646
2003q2,,3.2606794,0.00112621,,-3.2308243,0.00186911,,"22,181","34,455",22.181,34.455,4.4,4.50334556,5.124269456
2003q3,,11.4566561,0.012826399,,-3.2358738,0.001365442,,"14,339","23,886",14.339,23.886,1.29,4.515561803,4.503279012
2003q4,,7.0400817,0.004872035,,10.7721549,0.011670334,,"13,305","12,058",13.305,12.058,0.64,4.535128801,4.507848464
